EXPENSE_YEAR,EXPENSE_MONTH,ORGANIZATION_CODE,EXPENSE_TYPE_CODE,EXPENSE_PLAN_TOTAL
2019,11,8800,3,4000.00
2019,11,8810,3,1000.00
2019,11,8820,3,2000.00
2019,12,006,3,1000.00
2019,12,007,3,100.00
2019,12,009,3,1000.00
2019,12,013,3,4000.00
2019,12,014,3,1000.00
2019,12,015,3,2000.00
2019,12,017,3,300.00
2019,12,018,3,1000.00
2019,12,019,3,1000.00
2019,12,020,3,500.00
2019,12,021,3,1000.00
2019,12,022,3,1000.00
2019,12,023,3,6000.00
2019,12,024,3,1000.00
2019,12,025,3,300.00
2019,12,026,3,2000.00
2019,12,028,3,1000.00
2019,12,029,3,1000.00
2019,12,030,3,1000.00
2019,12,031,3,500.00
2019,12,032,3,3000.00
2019,12,033,3,1000.00
2019,12,034,3,2000.00
2019,12,036,3,300.00
2019,12,037,3,1000.00
2019,12,038,3,4000.00
2019,12,039,3,1000.00
2019,12,040,3,15000.00
2019,12,1710,3,200.00
2019,12,1720,3,400.00
2019,12,1730,3,200.00
2019,12,1740,3,4000.00
2019,12,1750,3,2000.00
2019,12,1760,3,1000.00
2019,12,1800,3,1000.00
2019,12,1810,3,6000.00
2019,12,1820,3,3000.00
2019,12,4700,3,2000.00
2019,12,4710,3,1000.00
2019,12,4720,3,300.00
2019,12,4740,3,1000.00
2019,12,4750,3,400.00
2019,12,4760,3,1000.00
2019,12,4810,3,2000.00
2019,12,4820,3,2000.00
2019,12,5720,3,2000.00
2019,12,5730,3,1000.00
2019,12,5740,3,4000.00
2019,12,5750,3,500.00
2019,12,5760,3,200.00
2019,12,5800,3,1000.00
2019,12,5810,3,1000.00
2019,12,5820,3,300.00
2019,12,6700,3,2000.00
2019,12,6710,3,1000.00
2019,12,6720,3,3000.00
2019,12,6730,3,500.00
2019,12,6740,3,13000.00
2019,12,6750,3,2000.00
2019,12,6760,3,3000.00
2019,12,6800,3,4000.00
2019,12,6810,3,2000.00
2019,12,7710,3,1000.00
2019,12,7720,3,1000.00
2019,12,7730,3,1000.00
2019,12,7740,3,2000.00
2019,12,7750,3,3000.00
2019,12,7760,3,2000.00
2019,12,7810,3,200.00
2019,12,7820,3,1000.00
2019,12,8700,3,2000.00
2019,12,8710,3,2000.00
2019,12,8720,3,1000.00
2019,12,8730,3,1000.00
2019,12,8740,3,8000.00
2019,12,8750,3,3000.00
2019,12,8760,3,1000.00
2019,12,8800,3,500.00
2019,12,8810,3,400.00
2019,12,8820,3,2000.00
2020,1,006,3,1000.00
2020,1,007,3,200.00
2020,1,009,3,1000.00
2020,1,013,3,1000.00
2020,1,014,3,200.00
2020,1,015,3,4000.00
2020,1,018,3,1000.00
2020,1,019,3,2000.00
2020,1,020,3,1000.00
2020,1,021,3,1000.00
2020,1,022,3,1000.00
2020,1,023,3,1000.00
2020,1,024,3,2000.00
2020,1,026,3,400.00
2020,1,029,3,400.00
2020,1,030,3,1000.00
2020,1,031,3,1000.00
2020,1,032,3,2000.00
2020,1,033,3,1000.00
2020,1,034,3,1000.00
2020,1,035,3,1000.00
2020,1,039,3,1000.00
2020,1,040,3,4000.00
2020,1,1700,3,1000.00
2020,1,1710,3,300.00
2020,1,1730,3,500.00
2020,1,1740,3,3000.00
2020,1,1750,3,2000.00
2020,1,1760,3,2000.00
2020,1,1800,3,1000.00
2020,1,1810,3,1000.00
2020,1,1820,3,1000.00
2020,1,4720,3,1000.00
2020,1,4730,3,1000.00
2020,1,4740,3,2000.00
2020,1,4750,3,300.00
2020,1,4760,3,1000.00
2020,1,4800,3,2000.00
2020,1,4810,3,2000.00
