EMPLOYEE_SURVEY_DATE,ORGANIZATION_CODE,POSITION_CODE,SATISFACTION_CODE,EMPLOYEE_TOPIC_CODE,EMPLOYEE_TOPIC_SCORE
2019-05-15 00:00:00.0,1740,2100,4,51,0.824
2019-05-15 00:00:00.0,1740,2100,3,52,0.741
2019-05-15 00:00:00.0,1740,2100,3,53,0.769
2019-05-15 00:00:00.0,1740,2100,3,54,0.69
2019-05-15 00:00:00.0,1740,2200,3,50,0.688
2019-05-15 00:00:00.0,1740,2200,3,51,0.65
2019-05-15 00:00:00.0,1740,2200,3,52,0.799
2019-05-15 00:00:00.0,1740,2200,3,53,0.671
2019-05-15 00:00:00.0,1740,2200,2,54,0.633
2019-05-15 00:00:00.0,1740,2300,3,50,0.665
2019-05-15 00:00:00.0,1740,2300,2,51,0.613
2019-05-15 00:00:00.0,1740,2300,3,52,0.686
2019-05-15 00:00:00.0,1740,2300,3,53,0.774
2019-05-15 00:00:00.0,1740,2300,2,54,0.585
2019-05-15 00:00:00.0,1740,2400,3,50,0.728
2019-05-15 00:00:00.0,1740,2400,3,51,0.784
2019-05-15 00:00:00.0,1740,2400,4,52,0.818
2019-05-15 00:00:00.0,1740,2400,3,53,0.698
2019-05-15 00:00:00.0,1740,2400,2,54,0.614
2019-05-15 00:00:00.0,1740,2500,3,50,0.734
2019-05-15 00:00:00.0,1740,2500,3,51,0.799
2019-05-15 00:00:00.0,1740,2500,4,52,0.813
2019-05-15 00:00:00.0,1740,2500,3,53,0.694
2019-05-15 00:00:00.0,1740,2500,2,54,0.629
2019-05-15 00:00:00.0,1740,2600,3,50,0.732
2019-05-15 00:00:00.0,1740,2600,4,51,0.837
2019-05-15 00:00:00.0,1740,2600,3,52,0.717
2019-05-15 00:00:00.0,1740,2600,3,53,0.702
2019-05-15 00:00:00.0,1740,2600,3,54,0.672
2019-05-15 00:00:00.0,1750,4100,3,50,0.705
2019-05-15 00:00:00.0,1750,4100,2,51,0.643
2019-05-15 00:00:00.0,1750,4100,3,52,0.787
2019-05-15 00:00:00.0,1750,4100,3,53,0.7
2019-05-15 00:00:00.0,1750,4100,3,54,0.69
2019-05-15 00:00:00.0,1750,4200,3,50,0.76
2019-05-15 00:00:00.0,1750,4200,3,51,0.705
2019-05-15 00:00:00.0,1750,4200,4,52,0.838
2019-05-15 00:00:00.0,1750,4200,3,53,0.74
2019-05-15 00:00:00.0,1750,4200,3,54,0.756
2019-05-15 00:00:00.0,1760,3100,3,50,0.659
2019-05-15 00:00:00.0,1760,3100,3,51,0.709
2019-05-15 00:00:00.0,1760,3100,2,52,0.646
2019-05-15 00:00:00.0,1760,3100,2,53,0.558
2019-05-15 00:00:00.0,1760,3100,3,54,0.721
2019-05-15 00:00:00.0,1760,3200,3,50,0.734
2019-05-15 00:00:00.0,1760,3200,2,51,0.562
2019-05-15 00:00:00.0,1760,3200,3,52,0.716
2019-05-15 00:00:00.0,1760,3200,4,53,0.879
2019-05-15 00:00:00.0,1760,3200,3,54,0.777
2019-05-15 00:00:00.0,1760,3300,2,50,0.639
2019-05-15 00:00:00.0,1760,3300,3,51,0.676
2019-05-15 00:00:00.0,1760,3300,2,52,0.646
2019-05-15 00:00:00.0,1760,3300,3,53,0.659
2019-05-15 00:00:00.0,1760,3300,2,54,0.573
2019-05-15 00:00:00.0,1760,3400,3,50,0.738
2019-05-15 00:00:00.0,1760,3400,3,51,0.753
2019-05-15 00:00:00.0,1760,3400,3,52,0.692
2019-05-15 00:00:00.0,1760,3400,4,53,0.833
2019-05-15 00:00:00.0,1760,3400,3,54,0.674
2019-05-15 00:00:00.0,1800,5200,3,50,0.733
2019-05-15 00:00:00.0,1800,5200,3,51,0.725
2019-05-15 00:00:00.0,1800,5200,4,52,0.888
2019-05-15 00:00:00.0,1800,5200,2,53,0.643
2019-05-15 00:00:00.0,1800,5200,3,54,0.674
2019-05-15 00:00:00.0,1800,5300,3,50,0.766
2019-05-15 00:00:00.0,1800,5300,3,51,0.709
2019-05-15 00:00:00.0,1800,5300,4,52,0.815
2019-05-15 00:00:00.0,1800,5300,4,53,0.856
2019-05-15 00:00:00.0,1800,5300,3,54,0.682
2019-05-15 00:00:00.0,1810,4600,3,50,0.669
2017-05-17 00:00:00.0,009,5400,3,52,0.695
2017-05-17 00:00:00.0,009,5400,2,53,0.634
2017-05-17 00:00:00.0,009,5400,4,54,0.87
2017-05-17 00:00:00.0,009,5500,3,50,0.715
2017-05-17 00:00:00.0,009,5500,3,51,0.792
2017-05-17 00:00:00.0,009,5500,3,52,0.66
2017-05-17 00:00:00.0,009,5500,3,53,0.674
2017-05-17 00:00:00.0,009,5500,3,54,0.735
2017-05-17 00:00:00.0,009,5600,3,50,0.699
2017-05-17 00:00:00.0,009,5600,4,51,0.81
2017-05-17 00:00:00.0,009,5600,3,52,0.66
