EXPENSE_GROUP_CODE,EXPENSE_GROUP_EN,EXPENSE_GROUP_DE,EXPENSE_GROUP_FR,EXPENSE_GROUP_JA,EXPENSE_GROUP_AR,EXPENSE_GROUP_CS,EXPENSE_GROUP_DA,EXPENSE_GROUP_EL,EXPENSE_GROUP_ES,EXPENSE_GROUP_FI,EXPENSE_GROUP_HR,EXPENSE_GROUP_HU,EXPENSE_GROUP_ID,EXPENSE_GROUP_IT,EXPENSE_GROUP_KK,EXPENSE_GROUP_KO,EXPENSE_GROUP_MS,EXPENSE_GROUP_NL,EXPENSE_GROUP_NO,EXPENSE_GROUP_PL,EXPENSE_GROUP_PT,EXPENSE_GROUP_RO,EXPENSE_GROUP_RU,EXPENSE_GROUP_SC,EXPENSE_GROUP_SL,EXPENSE_GROUP_SV,EXPENSE_GROUP_TC,EXPENSE_GROUP_TH,EXPENSE_GROUP_TR
400,Pay,Gehalt,Paie,給料,الأجر,Plat,Betaling,Πληρωμή,Pagos,Maksut,Plaća,Fizetés,Gaji,Paga,Төлем,급여,Bayar,Salaris,Lønn,Płaca,Pagamento,Plată,Оплата,工资,Plačilo,Lön,支付,ค่าตอบแทน,Ödeme
401,Bonus,Sonderzulage,Prime,ボーナス,العلاوة,Bonus,Bonus,Μπόνους,Prima,Bonus,Bonus,Jutalom,Bonus,Premi,Бонус,상여금,Bonus,Bonus,Bonus,Premia,Bônus,Bonus,Премия,奖金,Bonus,Bonus,獎金,โบนัส,Prim
402,Benefits,Sozialleistungen,Avantages sociaux,福利厚生,الفوائد,Odměny,Personalegoder,Παροχές,Beneficios,Edut,Povlastice,Juttatások,Tunjangan,Benefit,Жеңілдіктер,혜택,Faedah,Vergoedingen,Fordeler,Świadczenia,Benefícios,Beneficii,Преимущества,福利,Ugodnosti,Förmåner,福利,สวัสดิการ,Yan Ödemeler
403,Pay Increase,Gehaltserhöhung,Augmentation salariale,昇給,زيادة الأجور,Zvýšení příjmů,Lønforhøjelse,Αύξηση μισθού,Incremento salarial,Palkankorotus,Povećanje plaće,Fizetésemelés,Kenaikan Gaji,Aumento salariale,Төлем өсімі,급여 인상,Bayaran Meningkat,Salarisverhoging,Lønnspålegg,Podwyżka,Aumento,Creşterea plăţii,Увеличение заработной платы,工资增长,Povečanje plače,Löneförhöjning,支付增加,การเพิ่มค่าตอบแทน,Ödeme Artışı
404,Training,Schulung,Formation,研修,التدريب,Školení,Uddannelse,Εκπαίδευση,Formación,Koulutus,Školovanje,Képzés,Pelatihan,Formazione,Жаттығу,교육,Latihan,Training,Opplæring,Szkolenie,Treinamento,Instruire,Обучение,培训,Usposabljanje,Utbildning,培訓,การฝึกอบรม,Eğitim
405,Travel,Reisen,Transport,出張,السفر,Cestovné,Rejse,Ταξίδια,Viajes,Matkustus,Putovanja,Utazás,Perjalanan,Trasferte,Іссапар,여행,Perjalanan,Reizen,Reise,Delegacje,Viagem,Călătorie,Поездки,出差,Potovanja,Resor,旅行,การเดินทาง,Seyahat
406,Travel Expense,Reisekosten,Frais de transport,旅費,تكاليف السفر,Cestovní výdaje,Rejseudgift,Έξοδα ταξιδίων,Gastos de viajes,Matkustuskulut,Putni troškovi,Utazási költségek,Biaya Perjalanan,Spese di trasferta,Сапар шығыны,여행 비용,Perbelanjaan Perjalanan,Reiskosten,Reiseutgifter,Koszty delegacji,Despesas de viagem,Cheltuieli de călătorie,Затраты на поездки,出差费用,Potni stroški,Resekostnader,旅行花費,ค่าใช้จ่ายในการเดินทาง,Seyahat Giderleri
407,Maternity Leave,Mutterschaftsurlaub,Congé de maternité,出産休暇,اجازة الأمومة,Mateřská dovolená,Barselsorlov,Άδεια μητρότητας,Baja por maternidad,Äitiysloma,Porodiljski dopust,Szülési szabadság,Cuti Melahirkan,Congedo per maternità,Декретке шығу,출산 휴가,Cuti Bersalin,Zwangerschapsverlof,Fødselspermisjon,Urlop macierzyński,Licença maternidade,Concediu de maternitate,Декретный отпуск,产假,Porodniški dopust,Mammaledighet,產假,การลาคลอด,Hamilelik İzni
408,Parental Leave,Elternzeit,Congé parental,育児休暇,اجازة الأبوة,Rodičovská dovolená,Forældreorlov,Άδεια πατρότητας,Baja por paternidad,Vanhempainvapaa,Odsustvo zbog djece,Szülői szabadság,Cuti Istri Melahirkan,Congedo parentale,Аналық демалыс,부모 휴가,Cuti Parental,Ouderschapsverlof,Omsorgspermisjon foreldre,Urlop wychowawczy,Licença paternidade,Concediu parental,Отпуск по уходу,育儿假,Starševski dopust,Föräldraledighet,育兒假,การลาเลี้ยงดูบุตรหลังคลอด,Doğum İzni
409,Termination,Kündigung,Fin,解雇,الانهاء,Ukončení,Afslutning,Τερματισμός,Terminación,Lopetus,Prekid,Megszűnés,Pemecatan,Interruzione rapporto,Қысқартыу,종료,Penamatan,Werkbeëindiging,Oppsigelse,Rozwiązanie umowy,Rescisão,Terminare,Завершение,终止,Prenehanje,Uppsägning,終止,สิ้นสุดการจ้างงาน,Bitiş
