CURRENT_YEAR,EMPLOYEE_CODE,POSITION_CODE,DEPARTMENT_CODE,DAYS_WITH_COMPANY,COMMUTE_TIME,AGE_BEGIN_PERIOD,GENDER_CODE,ATTRITION,PERIOD_TOTAL_DAYS,STARTING_SALARY,ENDING_SALARY,NB_INCREASES,BONUS,NB_BONUS,VACATION_DAYS_TAKEN,SICK_DAYS_TAKEN,PROMOTIONS,NB_MANAGERS,DAYS_IN_POSITION,DAYS_SINCE_LAST_RAISE,RANKING_CODE,OVERTIME,DBLOVERTIME,TRAVEL,NUMBER_OF_CLASSES
2018,10121,5500,390,330,21,27,0,0,330,27500.00,27500.00,0,0.0,0,8.0,6.0,0,1,330,330,3,0.0,0.0,0.0,10
2018,10068,5600,390,365,17,25,1,0,330,38500.00,40538.46,1,0.0,0,8.0,15.0,0,1,365,0,3,0.0,0.0,0.0,10
2018,10512,5500,390,330,24,22,1,0,330,27500.00,27500.00,0,0.0,0,0.0,6.0,0,1,330,330,3,0.0,0.0,0.0,10
2018,10258,5500,390,120,9,41,1,0,120,27500.00,27500.00,0,0.0,0,0.0,2.0,0,1,120,120,3,0.0,0.0,0.0,8
2018,10118,5600,390,330,27,27,1,0,330,38500.00,38500.00,0,0.0,0,0.0,10.0,0,1,330,330,3,0.0,0.0,0.0,11
2018,10125,1200,200,3405,13,48,1,0,330,186538.46,189230.77,1,0.0,0,15.0,12.5,0,1,3405,120,3,0.0,0.0,0.0,1
2018,10374,2500,320,395,31,31,0,0,330,49500.00,54153.85,1,0.0,0,0.0,4.5,0,1,395,30,3,0.0,0.0,0.0,5
2018,10413,1700,340,1550,27,46,1,0,330,143076.92,146769.23,1,0.0,0,25.0,8.5,0,1,1550,90,3,0.0,0.0,0.0,1
2018,10581,1700,340,1640,8,46,0,0,330,129692.31,132923.08,1,0.0,0,15.0,12.5,0,1,1640,180,3,0.0,0.0,0.0,1
2018,10523,2200,320,90,25,25,1,0,90,20000.00,20000.00,0,0.0,0,0.0,3.5,0,1,90,90,3,0.0,0.0,0.0,5
2018,10752,3300,380,879,28,32,1,0,330,44000.00,47538.46,1,0.0,0,8.0,6.0,0,1,395,30,3,0.0,0.0,0.0,5
2018,10661,5100,370,397,7,17,1,0,303,24765.00,24765.00,0,0.0,0,0.0,4.0,0,1,324,324,3,0.0,0.0,0.0,2
2018,10410,1400,380,1460,9,39,1,0,330,143076.92,146769.23,1,0.0,0,25.0,11.5,0,1,1460,0,3,0.0,0.0,0.0,1
2018,10364,1300,320,3435,18,42,0,0,330,161538.46,165230.77,1,0.0,0,16.0,5.0,0,1,3435,150,3,0.0,0.0,0.0,1
2018,10122,5700,390,330,27,34,0,0,330,49500.00,49500.00,0,0.0,0,2.0,6.0,0,1,330,330,3,0.0,0.0,0.0,12
2018,10076,3800,300,270,20,28,1,0,270,33000.00,33000.00,0,0.0,0,0.0,5.5,0,1,270,270,3,0.0,0.0,0.0,8
2018,10012,5400,390,270,9,36,1,0,270,60500.00,60500.00,0,0.0,0,0.0,2.0,0,1,270,270,3,0.0,0.0,0.0,9
2018,10169,1700,340,1975,17,41,0,0,330,146769.23,150461.54,1,0.0,0,24.0,3.5,0,1,1975,150,3,0.0,0.0,0.0,1
2018,10194,1600,330,1520,31,46,0,0,330,143076.92,146769.23,1,0.0,0,26.0,9.5,0,1,1520,60,3,0.0,0.0,0.0,1
2018,10287,4000,300,90,32,20,1,0,90,22000.00,22000.00,0,0.0,0,0.0,4.0,0,1,90,90,3,0.0,0.0,0.0,4
2018,10308,1500,300,1670,31,43,1,0,330,143076.92,146769.23,1,0.0,0,25.0,9.5,0,1,1670,210,3,0.0,0.0,0.0,1
2018,10130,1800,220,1550,44,44,0,0,330,143076.92,146769.23,1,0.0,0,24.0,9.0,0,1,1550,90,3,0.0,0.0,0.0,1
2018,10091,5600,390,330,19,36,0,0,330,35000.00,35000.00,0,0.0,0,8.0,9.0,0,1,330,330,3,0.0,0.0,0.0,11
2018,10166,1200,200,2035,22,47,0,0,330,175769.23,178461.54,1,0.0,0,25.0,1.0,0,1,2035,210,3,0.0,0.0,0.0,1
2018,10173,3100,380,395,17,39,0,0,330,60500.00,66615.38,1,0.0,0,10.0,11.0,0,1,395,30,3,0.0,0.0,0.0,5
2018,10230,5700,390,180,26,49,0,0,180,49500.00,49500.00,0,0.0,0,0.0,2.0,0,2,180,180,3,0.0,0.0,0.0,7
2018,10347,5700,390,300,19,36,1,0,300,49500.00,49500.00,0,0.0,0,0.0,2.0,0,2,300,300,3,0.0,0.0,0.0,10
2018,10148,1700,340,2370,19,44,0,0,330,150461.54,154153.85,1,0.0,0,26.0,1.0,0,1,2370,180,3,0.0,0.0,0.0,1
2018,10191,1200,200,1610,24,47,0,0,330,173076.92,175769.23,1,0.0,0,26.0,11.5,0,1,1610,150,3,0.0,0.0,0.0,1
2018,10361,5600,390,240,32,31,1,0,240,38500.00,38500.00,0,0.0,0,0.0,3.0,0,2,240,240,3,0.0,0.0,0.0,8
2018,10290,1500,300,2125,29,42,1,0,330,146769.23,150461.54,1,0.0,0,15.0,9.0,0,1,2125,300,3,0.0,0.0,0.0,1
2018,10548,1400,380,1580,15,45,0,0,330,129692.31,132923.08,1,0.0,0,15.0,9.0,0,1,1580,120,3,0.0,0.0,0.0,1
2018,10289,1400,380,1885,31,44,0,0,330,146769.23,150461.54,1,0.0,0,26.0,11.5,0,1,1885,60,3,0.0,0.0,0.0,1
2018,10212,3200,380,210,27,36,0,0,210,30000.00,30000.00,0,0.0,0,0.0,1.5,0,1,210,210,3,0.0,0.0,0.0,7
2018,10152,5400,390,330,8,33,0,0,330,60500.00,60500.00,0,0.0,0,0.0,6.0,0,1,330,330,3,0.0,0.0,0.0,9
2018,10147,1400,380,2400,40,41,0,0,330,150461.54,154153.85,1,0.0,0,16.0,12.5,0,1,2400,210,3,0.0,0.0,0.0,1
2019,10168,1600,330,2308,8,46,0,0,330,150461.54,154153.85,1,0.0,0,26.0,10.5,0,1,2308,120,3,0.0,0.0,0.0,1
2019,10195,1700,340,1854,17,38,0,0,330,146769.23,150461.54,1,0.0,0,20.0,9.0,0,1,1854,30,3,0.0,0.0,0.0,1
2019,10286,3900,300,365,7,31,1,0,330,27500.00,29615.38,1,0.0,0,8.0,15.0,0,1,365,0,3,0.0,0.0,0.0,6
2019,10196,1800,220,1885,8,46,0,0,330,146769.23,150461.54,1,0.0,0,22.0,10.0,0,1,1885,60,3,0.0,0.0,0.0,1
2019,10335,4800,360,30,21,30,1,0,30,24200.00,24200.00,0,0.0,0,0.0,0.5,0,1,30,30,3,0.0,0.0,0.0,2
2019,10367,1700,340,3495,30,46,1,0,330,161538.46,165230.77,1,0.0,0,10.0,5.0,0,1,3495,210,3,0.0,0.0,0.0,1
2019,10737,2400,320,345,19,26,1,0,240,35000.00,35000.00,0,0.0,0,0.0,2.0,0,1,240,240,3,0.0,0.0,0.0,8
2019,10409,1300,320,1855,17,44,0,0,330,146769.23,150461.54,1,0.0,0,20.0,9.0,0,1,1855,30,3,0.0,0.0,0.0,1
2019,10275,1600,330,2645,18,45,1,0,330,154153.85,157846.15,1,0.0,0,19.0,16.0,0,1,2645,90,3,0.0,0.0,0.0,1
2019,10566,1200,200,1825,29,55,0,0,330,159230.77,161538.46,1,0.0,0,28.0,10.5,0,1,1825,0,3,0.0,0.0,0.0,1
2019,10006,5500,390,210,28,25,0,0,210,27500.00,27500.00,0,0.0,0,0.0,2.0,0,1,210,210,3,0.0,0.0,0.0,9
2019,10145,1200,200,2885,25,53,0,0,330,183846.15,183846.15,1,0.0,0,28.0,11.0,0,1,2885,330,3,0.0,0.0,0.0,1
2019,10515,5600,390,330,15,51,0,0,330,38500.00,38500.00,0,0.0,0,3.0,8.0,0,1,330,330,3,0.0,0.0,0.0,11
2019,10426,4200,330,395,29,37,1,0,330,25300.00,27969.23,1,0.0,0,8.0,9.0,0,1,395,30,3,0.0,0.0,0.0,6
2019,10569,5500,390,270,38,26,1,0,270,25000.00,25000.00,0,0.0,0,0.0,6.5,0,1,270,270,3,0.0,0.0,0.0,9
2019,10644,1500,300,2585,17,43,1,0,330,154153.85,157846.15,1,0.0,0,22.0,6.5,0,1,2585,30,3,0.0,0.0,0.0,1
2019,10279,2500,320,240,7,31,1,0,240,49500.00,49500.00,0,0.0,0,0.0,6.5,0,1,240,240,3,0.0,0.0,0.0,8
2019,10247,5500,390,210,27,24,0,0,210,27500.00,27500.00,0,0.0,0,0.0,9.0,0,1,210,210,3,0.0,0.0,0.0,7
2019,10580,1600,330,1915,19,45,0,0,330,132923.08,136153.85,1,0.0,0,19.0,11.0,0,1,1915,90,3,0.0,0.0,0.0,1
2020,10323,3100,380,1549,25,41,1,0,180,54615.38,60500.00,2,2420.0,1,10.0,6.0,0,1,30,30,3,0.0,0.0,0.0,0
2020,10653,1900,320,2125,39,39,1,0,180,99423.08,99423.08,0,3976.9232,1,7.0,4.5,0,1,2125,300,3,0.0,0.0,0.0,0
2020,10560,3900,300,1730,27,29,1,0,180,32538.46,32538.46,0,650.7692,1,7.0,2.0,0,1,1485,270,2,0.0,0.0,0.0,0
2020,10456,4700,360,1580,28,36,1,0,180,47461.54,49715.38,1,1988.6152,1,0.0,3.5,0,1,1580,120,3,0.0,0.0,0.0,0
2020,10451,3500,350,866,32,53,1,0,169,30538.46,45000.00,2,900.0,1,0.0,2.0,0,1,30,30,2,0.0,0.0,0.0,0
2020,10586,5000,370,2370,32,43,1,0,180,49384.62,49384.62,1,2963.0772,1,5.0,5.0,0,1,2370,180,4,0.0,0.0,0.0,0
2020,10377,2500,320,1825,25,27,1,0,180,68115.38,72769.23,1,4086.9228000000003,1,5.0,4.0,0,1,1825,0,4,0.0,0.0,0.0,0
2020,10640,2300,320,1365,14,37,1,0,180,87307.69,87307.69,0,1746.1538,1,20.0,3.0,0,1,1365,270,2,0.0,0.0,0.0,0
2020,10421,3300,380,2310,25,36,1,0,180,61692.31,65230.77,1,2609.2308,1,5.0,2.5,0,1,2310,120,3,0.0,0.0,0.0,0
2020,10641,2100,320,2095,41,46,1,0,180,40000.00,40000.00,0,1600.0,1,15.0,2.0,0,1,2095,270,3,0.0,0.0,0.0,0
2020,10431,4500,360,1871,36,52,0,0,180,87307.69,87307.69,1,3492.3076,1,6.0,4.0,0,1,545,180,3,0.0,0.0,0.0,0
2020,10399,4900,370,2675,15,27,1,0,180,90961.54,96538.46,1,1930.7692000000002,1,5.0,6.5,0,1,2675,120,2,0.0,0.0,0.0,0
2020,10249,1900,320,3890,16,39,1,0,180,131846.15,131846.15,0,5273.846,1,5.0,3.0,0,1,3890,240,3,0.0,0.0,0.0,0
2020,10132,3100,380,1700,8,40,0,0,180,84961.54,84961.54,0,3398.4615999999996,1,5.0,3.5,0,1,1700,240,3,0.0,0.0,0.0,0
2020,10563,4900,370,1670,23,42,0,0,180,71826.92,71826.92,0,4309.6152,1,5.0,3.5,0,1,1670,210,4,0.0,0.0,0.0,0
2020,10278,2500,320,1855,31,33,1,0,180,68115.38,72769.23,1,2910.7691999999997,1,7.0,3.5,0,1,1376,30,3,0.0,0.0,0.0,0
2020,10043,3800,300,2310,6,39,1,0,180,45307.69,47769.23,1,1910.7692000000002,1,5.0,4.0,0,1,2310,120,3,0.0,0.0,0.0,0
2020,10064,2000,320,2220,15,47,1,0,180,67000.00,70500.00,1,2820.0,1,0.0,3.5,0,1,2220,30,3,0.0,0.0,0.0,0
2020,10150,2100,320,2555,15,33,0,0,180,42500.00,45000.00,1,850.0,1,9.0,2.5,0,1,2555,0,2,0.0,0.0,0.0,0
2020,10182,4300,340,2190,19,32,0,0,180,68076.92,72692.31,1,4084.6151999999997,1,7.0,4.0,0,1,2190,0,4,0.0,0.0,0.0,0
2020,10374,2500,320,970,31,33,0,0,180,58807.69,58807.69,0,3528.4614,1,6.0,6.0,0,1,970,240,4,0.0,0.0,0.0,0
2020,10445,1900,320,2155,19,43,0,0,180,109923.08,109923.08,0,4396.9232,1,5.0,3.5,0,1,2155,330,3,0.0,0.0,0.0,0
2020,10477,2300,320,1885,9,32,0,0,180,92576.92,97846.15,1,5870.768999999999,1,6.0,3.0,0,1,1885,60,4,0.0,0.0,0.0,0
2020,10558,2500,320,485,28,26,1,0,180,45000.00,49153.85,1,983.077,1,4.0,6.0,0,1,485,120,2,0.0,0.0,0.0,0
2020,10288,4300,340,2733,42,32,1,0,180,77307.69,77307.69,1,1546.1538,1,6.0,3.0,0,1,2733,180,2,0.0,0.0,0.0,0
