POSITION_SUMMARY_DATE,ORGANIZATION_CODE,POSITION_CODE,POSITION_COUNT,PLANNED_POSITION_COUNT,INTERNAL_HIRES,EXTERNAL_HIRES,INTERNAL_MOVES,TERMINATIONS
2017-03-31 00:00:00.0,034,5700,2,2,0,0,0,0
2017-03-31 00:00:00.0,035,5400,1,1,0,0,0,0
2017-03-31 00:00:00.0,035,5500,0,0,0,0,0,0
2017-03-31 00:00:00.0,035,5600,2,2,0,0,0,0
2017-03-31 00:00:00.0,035,5700,1,1,0,0,0,0
2017-03-31 00:00:00.0,036,5400,1,1,0,0,0,0
2017-03-31 00:00:00.0,036,5500,1,1,0,0,0,0
2017-03-31 00:00:00.0,036,5600,1,1,0,0,0,0
2017-03-31 00:00:00.0,036,5700,1,1,0,0,0,0
2017-03-31 00:00:00.0,037,5400,0,0,0,0,0,0
2017-03-31 00:00:00.0,037,5500,0,0,0,0,0,0
2017-03-31 00:00:00.0,037,5600,0,0,0,0,0,0
2017-03-31 00:00:00.0,037,5700,0,0,0,0,0,0
2017-03-31 00:00:00.0,038,5400,0,0,0,0,0,0
2017-03-31 00:00:00.0,038,5500,0,0,0,0,0,0
2017-03-31 00:00:00.0,038,5600,0,0,0,0,0,0
2017-03-31 00:00:00.0,038,5700,0,0,0,0,0,0
2017-03-31 00:00:00.0,039,5400,1,1,0,0,0,0
2017-03-31 00:00:00.0,039,5500,1,1,0,0,0,0
2017-03-31 00:00:00.0,039,5600,1,1,0,0,0,0
2017-03-31 00:00:00.0,039,5700,1,1,0,0,0,0
2017-03-31 00:00:00.0,040,5400,1,1,0,0,0,0
2017-03-31 00:00:00.0,040,5500,7,7,0,0,0,0
2017-03-31 00:00:00.0,040,5600,8,9,0,0,0,0
2017-03-31 00:00:00.0,040,5700,5,5,0,0,0,0
2017-03-31 00:00:00.0,1700,1000,1,1,0,0,0,0
2017-03-31 00:00:00.0,1700,1100,1,1,0,0,0,0
2017-03-31 00:00:00.0,1700,1200,1,1,0,0,0,0
2017-03-31 00:00:00.0,1700,4500,1,1,0,0,0,0
2017-03-31 00:00:00.0,1710,3500,1,1,0,0,0,0
2017-03-31 00:00:00.0,1710,3600,1,1,0,0,0,0
2017-03-31 00:00:00.0,1710,3700,2,2,0,0,0,0
2017-03-31 00:00:00.0,1720,1700,1,1,0,0,0,0
2017-03-31 00:00:00.0,1720,4300,2,2,0,0,0,0
2017-03-31 00:00:00.0,1720,4400,3,3,0,1,0,0
2017-03-31 00:00:00.0,1730,1500,1,1,0,0,0,0
2017-03-31 00:00:00.0,1730,3800,1,1,0,0,0,0
2017-03-31 00:00:00.0,1730,3900,2,2,0,0,0,0
2017-03-31 00:00:00.0,1730,4000,2,2,0,0,0,0
2017-03-31 00:00:00.0,1740,1300,1,1,0,0,0,0
2017-03-31 00:00:00.0,1740,1900,1,1,0,0,0,0
2017-03-31 00:00:00.0,1740,2000,1,1,0,0,0,0
2017-03-31 00:00:00.0,1740,2100,1,1,0,0,0,0
2017-03-31 00:00:00.0,1740,2200,1,1,0,0,0,0
2017-03-31 00:00:00.0,1740,2300,1,1,0,0,0,0
2017-03-31 00:00:00.0,1740,2400,2,3,0,0,1,0
2017-03-31 00:00:00.0,1740,2500,4,4,1,0,0,0
2017-03-31 00:00:00.0,1740,2600,6,6,0,0,0,0
2017-03-31 00:00:00.0,1750,1600,1,1,0,0,0,0
2017-03-31 00:00:00.0,1750,4100,1,1,0,0,0,0
2017-03-31 00:00:00.0,1750,4200,3,3,0,1,0,0
2017-03-31 00:00:00.0,1760,1400,1,1,0,0,0,0
2017-03-31 00:00:00.0,1760,3100,1,1,0,0,0,0
2017-03-31 00:00:00.0,1760,3200,1,1,0,0,0,0
2017-03-31 00:00:00.0,1760,3300,2,2,0,0,0,0
2017-03-31 00:00:00.0,1760,3400,2,2,0,0,0,0
2017-03-31 00:00:00.0,1800,1800,1,1,0,0,0,0
2017-03-31 00:00:00.0,1800,5200,1,1,0,0,0,0
2017-03-31 00:00:00.0,1800,5300,2,2,0,0,0,0
2017-03-31 00:00:00.0,1810,4600,2,2,0,0,0,0
2017-03-31 00:00:00.0,1810,4700,4,4,0,0,0,0
2017-03-31 00:00:00.0,1810,4800,11,11,0,0,0,0
2017-03-31 00:00:00.0,1810,5800,3,3,0,0,0,0
2017-03-31 00:00:00.0,1820,4900,1,1,0,0,0,0
2017-03-31 00:00:00.0,1820,5000,3,3,0,0,0,0
2017-03-31 00:00:00.0,1820,5100,6,7,0,0,0,0
2017-03-31 00:00:00.0,4700,1200,1,1,0,0,0,0
2017-03-31 00:00:00.0,4700,4500,1,1,0,0,0,0
2017-03-31 00:00:00.0,4710,3500,1,1,0,0,0,0
2017-03-31 00:00:00.0,4710,3600,1,1,0,0,0,0
2017-03-31 00:00:00.0,4710,3700,1,2,0,0,0,0
2017-03-31 00:00:00.0,4720,1700,1,1,0,0,0,0
2017-03-31 00:00:00.0,4720,4300,1,1,0,0,0,0
2017-03-31 00:00:00.0,4720,4400,1,1,0,0,0,0
2017-03-31 00:00:00.0,4730,1500,1,1,0,0,0,0
2017-03-31 00:00:00.0,4730,3800,1,1,0,0,0,0
2017-03-31 00:00:00.0,4730,3900,1,1,0,0,0,0
2017-03-31 00:00:00.0,4730,4000,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,1300,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,1900,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,2000,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,2100,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,2200,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,2300,1,1,0,0,0,0
2017-03-31 00:00:00.0,4740,2400,0,0,0,0,0,0
2017-03-31 00:00:00.0,4740,2500,2,2,0,0,0,0
2017-03-31 00:00:00.0,4740,2600,1,1,0,0,0,0
2017-03-31 00:00:00.0,4750,1600,1,1,0,0,0,0
2017-03-31 00:00:00.0,4750,4100,1,1,0,0,0,0
2017-03-31 00:00:00.0,4750,4200,4,4,0,0,0,0
2017-03-31 00:00:00.0,4760,1400,1,1,0,0,0,0
2017-03-31 00:00:00.0,4760,3100,1,1,0,0,0,0
2017-03-31 00:00:00.0,4760,3200,0,0,0,0,0,0
2017-03-31 00:00:00.0,4760,3300,0,0,0,0,0,0
2017-03-31 00:00:00.0,4760,3400,1,1,0,0,0,0
2017-03-31 00:00:00.0,4800,1800,1,1,0,0,0,0
2017-03-31 00:00:00.0,4800,5200,1,1,0,0,0,0
2017-03-31 00:00:00.0,4800,5300,2,2,0,0,0,0
2017-03-31 00:00:00.0,4810,4600,1,1,0,1,0,0
2017-03-31 00:00:00.0,4810,4700,2,2,0,0,0,0
2017-03-31 00:00:00.0,4810,4800,6,6,0,0,0,0
2017-03-31 00:00:00.0,4810,5800,2,2,0,0,0,0
2017-03-31 00:00:00.0,4820,4900,1,1,0,0,0,0
2017-03-31 00:00:00.0,4820,5000,2,2,0,0,0,0
2017-03-31 00:00:00.0,4820,5100,3,3,0,1,0,0
2017-03-31 00:00:00.0,5700,1200,1,1,0,0,0,0
2017-03-31 00:00:00.0,5700,4500,0,1,0,0,0,0
2017-03-31 00:00:00.0,5710,3500,1,1,0,0,0,0
2017-03-31 00:00:00.0,5710,3600,1,1,0,0,0,0
2017-03-31 00:00:00.0,5710,3700,2,2,0,0,0,0
2017-03-31 00:00:00.0,5720,1700,1,1,0,0,0,0
2017-03-31 00:00:00.0,5720,4300,2,2,0,0,0,0
2017-03-31 00:00:00.0,5720,4400,2,2,0,0,0,0
2017-03-31 00:00:00.0,5730,1500,1,1,0,0,0,0
2017-03-31 00:00:00.0,5730,3800,0,0,0,0,0,0
2017-03-31 00:00:00.0,5730,3900,1,1,0,0,0,0
2017-03-31 00:00:00.0,5730,4000,0,0,0,0,0,0
2017-03-31 00:00:00.0,5740,1300,1,1,0,0,0,0
2017-03-31 00:00:00.0,5740,1900,1,1,0,0,0,0
2017-03-31 00:00:00.0,5740,2000,1,1,0,0,0,0
2017-03-31 00:00:00.0,5740,2100,1,1,0,0,0,0
2017-03-31 00:00:00.0,5740,2200,2,2,0,0,0,0
2017-03-31 00:00:00.0,5740,2300,1,1,0,0,0,0
2017-03-31 00:00:00.0,5740,2400,0,0,0,0,0,0
2017-03-31 00:00:00.0,5740,2500,1,2,0,0,0,0
2017-03-31 00:00:00.0,5740,2600,2,2,0,0,0,0
2017-03-31 00:00:00.0,5750,1600,1,1,0,0,0,0
2017-03-31 00:00:00.0,5750,4100,1,1,0,0,0,0
2017-03-31 00:00:00.0,5750,4200,2,2,0,0,0,0
2017-03-31 00:00:00.0,5760,1400,1,1,0,0,0,0
2017-03-31 00:00:00.0,5760,3100,1,1,0,0,0,0
2017-03-31 00:00:00.0,5760,3200,0,0,0,0,0,0
2017-03-31 00:00:00.0,5760,3300,1,1,0,0,0,0
2017-03-31 00:00:00.0,5760,3400,0,0,0,0,0,0
2017-03-31 00:00:00.0,5800,1800,1,1,0,0,0,0
