EMPLOYEE_CODE,COURSE_CODE,TRAINING_DATE,EXPENSE_TYPE_CODE
10762,24501,2019-09-07 00:00:00.0,38
10762,25001,2019-11-15 00:00:00.0,38
10762,25501,2020-02-14 00:00:00.0,38
10762,26001,2019-02-23 00:00:00.0,38
10762,33001,2020-04-16 00:00:00.0,38
10763,13001,2018-02-22 00:00:00.0,35
10763,14501,2018-07-25 00:00:00.0,38
10763,15501,2017-12-07 00:00:00.0,34
10763,18501,2018-01-17 00:00:00.0,38
10763,19001,2018-01-10 00:00:00.0,34
10763,19501,2018-03-16 00:00:00.0,38
10763,20001,2017-12-16 00:00:00.0,34
10763,30001,2018-01-03 00:00:00.0,37
10765,24501,2018-05-20 00:00:00.0,38
10765,25001,2018-06-20 00:00:00.0,38
10765,25501,2018-07-20 00:00:00.0,38
10765,31501,2017-04-20 00:00:00.0,38
10765,32001,2018-03-21 00:00:00.0,38
10765,32501,2019-03-20 00:00:00.0,38
10765,33001,2020-04-16 00:00:00.0,38
10766,22501,2017-01-21 00:00:00.0,34
10767,10001,2017-07-05 00:00:00.0,34
10767,14501,2018-01-31 00:00:00.0,38
10767,15501,2017-06-16 00:00:00.0,34
10767,18501,2017-07-26 00:00:00.0,38
10767,19501,2017-09-23 00:00:00.0,38
10767,20001,2017-06-25 00:00:00.0,34
10767,20501,2017-09-01 00:00:00.0,34
10767,21001,2018-03-22 00:00:00.0,34
10768,14501,2020-02-14 00:00:00.0,38
10768,15001,2019-09-07 00:00:00.0,37
10768,19501,2019-02-23 00:00:00.0,38
10768,26501,2019-11-15 00:00:00.0,38
10768,30501,2020-07-12 00:00:00.0,38
10768,32501,2019-04-17 00:00:00.0,38
10768,33001,2020-04-16 00:00:00.0,38
10769,10501,2019-04-03 00:00:00.0,35
10769,14501,2019-10-30 00:00:00.0,38
10769,15501,2019-03-15 00:00:00.0,34
10769,18501,2019-04-24 00:00:00.0,38
10769,19501,2019-06-22 00:00:00.0,38
10769,20001,2019-03-24 00:00:00.0,34
10769,21501,2019-06-19 00:00:00.0,35
10770,14501,2020-05-30 00:00:00.0,38
10770,15501,2019-10-13 00:00:00.0,34
10770,17001,2019-11-01 00:00:00.0,34
10770,18501,2019-11-21 00:00:00.0,38
10770,19501,2020-01-22 00:00:00.0,38
10770,20001,2019-10-23 00:00:00.0,34
10770,26501,2020-04-13 00:00:00.0,38
10770,30001,2019-03-15 00:00:00.0,37
10770,30501,2020-06-13 00:00:00.0,38
10771,14501,2018-12-19 00:00:00.0,38
10771,15501,2018-05-03 00:00:00.0,34
10771,18501,2018-06-13 00:00:00.0,38
10789,25001,2020-04-10 00:00:00.0,38
10789,26001,2019-03-10 00:00:00.0,38
10789,30001,2019-11-08 00:00:00.0,37
10789,33001,2020-05-21 00:00:00.0,38
10790,14501,2017-07-26 00:00:00.0,38
10790,17501,2017-03-16 00:00:00.0,34
10790,18501,2017-01-16 00:00:00.0,38
10790,19501,2017-03-23 00:00:00.0,38
10790,31501,2017-05-17 00:00:00.0,38
10793,13501,2018-03-14 00:00:00.0,34
10793,14501,2018-10-10 00:00:00.0,38
10793,15001,2018-03-18 00:00:00.0,37
10793,15501,2018-02-22 00:00:00.0,34
10793,18501,2018-04-04 00:00:00.0,38
10793,19501,2018-06-22 00:00:00.0,38
10793,20001,2018-03-03 00:00:00.0,34
10793,23001,2018-06-15 00:00:00.0,34
10794,13501,2017-06-14 00:00:00.0,34
10794,14501,2018-01-10 00:00:00.0,38
10794,15001,2017-06-17 00:00:00.0,37
10794,15501,2017-05-24 00:00:00.0,34
10794,18501,2017-07-02 00:00:00.0,38
10794,19501,2017-09-21 00:00:00.0,38
10794,20001,2017-06-02 00:00:00.0,34
10794,23001,2017-09-14 00:00:00.0,34
10795,13501,2018-04-25 00:00:00.0,34
10795,14501,2018-11-21 00:00:00.0,38
10795,15001,2018-05-02 00:00:00.0,37
10795,15501,2018-04-06 00:00:00.0,34
10795,18501,2018-05-16 00:00:00.0,38
10795,19501,2018-08-04 00:00:00.0,38
10795,20001,2018-04-15 00:00:00.0,34
10795,23001,2018-07-28 00:00:00.0,34
10796,14501,2017-04-20 00:00:00.0,38
10796,24501,2018-06-20 00:00:00.0,38
10796,25001,2018-07-20 00:00:00.0,38
10796,25501,2018-08-22 00:00:00.0,38
10796,30501,2018-09-20 00:00:00.0,38
10796,31501,2017-05-17 00:00:00.0,38
10796,32001,2018-04-18 00:00:00.0,38
10796,32501,2019-04-17 00:00:00.0,38
10796,33001,2020-05-21 00:00:00.0,38
10797,14501,2017-07-13 00:00:00.0,38
10797,17501,2017-03-01 00:00:00.0,34
10797,18501,2017-01-05 00:00:00.0,38
10797,19501,2017-03-05 00:00:00.0,38
10797,24501,2018-06-20 00:00:00.0,38
10797,25001,2018-07-20 00:00:00.0,38
10797,31501,2017-05-17 00:00:00.0,38
10797,32001,2018-04-18 00:00:00.0,38
10797,32501,2019-04-17 00:00:00.0,38
10797,33001,2020-05-21 00:00:00.0,38
10798,24501,2018-07-20 00:00:00.0,38
10798,25001,2018-08-22 00:00:00.0,38
10798,31501,2017-05-17 00:00:00.0,38
10424,10501,2020-02-14 00:00:00.0,35
10545,33001,2020-05-21 00:00:00.0,38
10546,31501,2017-05-17 00:00:00.0,38
10546,32001,2018-04-18 00:00:00.0,38
10546,32501,2019-04-17 00:00:00.0,38
10546,33001,2020-05-21 00:00:00.0,38
10547,14501,2017-08-02 00:00:00.0,38
10547,16001,2017-01-05 00:00:00.0,34
10547,17501,2017-03-23 00:00:00.0,34
10547,18501,2017-01-23 00:00:00.0,38
10547,19501,2017-03-30 00:00:00.0,38
10547,24501,2018-11-21 00:00:00.0,38
10547,25001,2018-12-20 00:00:00.0,38
10547,25501,2019-01-20 00:00:00.0,38
10547,30501,2019-02-20 00:00:00.0,38
10547,31501,2017-05-17 00:00:00.0,38
10547,32001,2018-04-18 00:00:00.0,38
10547,32501,2019-04-17 00:00:00.0,38
10547,33001,2020-05-21 00:00:00.0,38
10556,20001,2017-02-27 00:00:00.0,34
10556,23001,2017-06-10 00:00:00.0,34
10557,13501,2020-06-27 00:00:00.0,34
10557,15001,2020-07-02 00:00:00.0,37
10557,15501,2020-06-08 00:00:00.0,34
10557,18501,2020-07-17 00:00:00.0,38
10557,20001,2020-06-18 00:00:00.0,34
10558,11001,2019-05-08 00:00:00.0,37
10558,14501,2019-11-27 00:00:00.0,38
10558,15501,2019-04-11 00:00:00.0,34
10558,16501,2019-05-15 00:00:00.0,34
10558,18501,2019-05-22 00:00:00.0,38
10558,19501,2019-07-26 00:00:00.0,38
10558,20001,2019-04-20 00:00:00.0,34
10558,23501,2019-07-19 00:00:00.0,34
10559,31501,2017-05-17 00:00:00.0,38
10559,32001,2018-04-18 00:00:00.0,38
10559,32501,2019-04-17 00:00:00.0,38
10559,33001,2020-05-21 00:00:00.0,38
10561,11001,2017-01-05 00:00:00.0,37
10561,14501,2017-07-28 00:00:00.0,38
10561,18501,2017-01-20 00:00:00.0,38
10561,19501,2017-03-29 00:00:00.0,38
10561,23501,2017-03-22 00:00:00.0,34
10562,14501,2017-08-23 00:00:00.0,38
10562,15501,2017-01-05 00:00:00.0,34
10562,18501,2017-02-13 00:00:00.0,38
10562,19001,2017-01-26 00:00:00.0,34
